HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Lille,Nantes,Ligue_1,2020-09-25,2,0,2.09,0.66,12,12,4,7,9,2,8.0,10.1,2.49,0.35
Saint-Etienne,Strasbourg,Ligue_1,2020-09-12,2,0,1.76,1.3,10,14,4,6,2,4,9.8,9.09,1.84,0.89
Marseille,Metz,Ligue_1,2020-09-26,1,1,0.86,1.11,17,14,3,3,7,0,5.32,18.95,1.13,1.56
Real Betis,Real Madrid,La_Liga,2020-09-26,2,3,1.41,3.86,15,11,5,4,5,7,15.68,10.25,0.19,2.73
Union Berlin,Augsburg,Bundesliga,2020-09-19,1,3,1.05,1.42,15,9,3,5,1,0,13.22,21.25,1.02,1.69
Valencia,SD Huesca,La_Liga,2020-09-26,1,1,0.31,1.11,5,17,2,4,3,3,11.63,4.83,0.6,2.07
Valencia,Levante,La_Liga,2020-09-13,4,2,1.73,2.37,14,19,8,8,4,5,14.5,9.91,0.91,1.84
Alaves,Getafe,La_Liga,2020-09-26,0,0,0.87,1.31,9,11,0,4,3,2,6.43,8.69,0.97,1.74
Schalke 04,Werder Bremen,Bundesliga,2020-09-26,1,3,1.68,3.1,17,17,4,7,3,4,3.95,9.47,0.49,2.34
Paris Saint Germain,Marseille,Ligue_1,2020-09-13,0,1,2.22,0.5,14,5,4,2,6,1,4.38,12.38,2.68,0.21
Montpellier,Nice,Ligue_1,2020-09-12,3,1,1.7,0.38,20,9,13,1,8,0,11.68,7.26,2.41,0.39
Brighton,Manchester United,Premier_League,2020-09-26,2,3,2.98,1.58,18,7,5,3,10,6,6.64,11.13,2.34,0.48
Liverpool,Leeds,Premier_League,2020-09-12,4,3,3.15,0.27,22,6,6,3,19,2,9.94,9.33,2.93,0.04
Real Valladolid,Real Sociedad,La_Liga,2020-09-13,1,1,0.86,0.31,8,8,3,2,2,3,10.29,6.05,1.95,0.69
Lens,Paris Saint Germain,Ligue_1,2020-09-10,1,0,1.72,0.34,7,8,3,1,5,4,15.37,4.88,2.56,0.28
Verona,Roma,Serie_A,2020-09-19,0,0,0.91,1.78,8,21,3,4,3,9,8.42,5.06,0.72,2.03
Villarreal,SD Huesca,La_Liga,2020-09-13,1,1,2.02,0.56,15,8,4,2,11,3,5.62,13.24,2.48,0.35
Inter,Fiorentina,Serie_A,2020-09-26,4,3,1.7,2.25,20,10,7,4,17,9,5.22,24.21,0.99,1.79
Nimes,Rennes,Ligue_1,2020-09-13,2,4,1.01,2.09,16,10,9,6,2,5,9.54,12.11,0.59,2.21
Granada,Athletic Club,La_Liga,2020-09-12,2,0,0.55,0.48,4,9,2,2,2,3,17.94,6.82,1.39,1.16
Borussia Dortmund,Borussia M.Gladbach,Bundesliga,2020-09-19,3,0,1.7,0.51,10,8,4,2,7,5,28.77,12.1,2.41,0.38
Augsburg,Borussia Dortmund,Bundesliga,2020-09-26,2,0,1.45,1.53,6,18,4,6,2,13,27.94,5.05,1.32,1.4
Ural,Khimki,RFPL,2020-09-12,3,1,1.8,1.07,10,12,6,4,5,7,8.93,14.33,2.01,0.74
West Bromwich Albion,Chelsea,Premier_League,2020-09-26,3,3,0.91,2.36,9,22,3,10,3,12,40.82,4.52,0.41,2.42
Sassuolo,Cagliari,Serie_A,2020-09-20,1,1,2.03,0.96,33,8,9,4,15,4,9.26,18.64,2.13,0.64
Wolfsburg,Bayer Leverkusen,Bundesliga,2020-09-20,0,0,1.28,0.44,9,7,1,3,7,8,11.65,11.88,2.15,0.57
West Bromwich Albion,Leicester,Premier_League,2020-09-13,0,3,0.35,2.96,7,13,1,7,6,3,19.11,10.53,0.06,2.91
West Ham,Newcastle United,Premier_League,2020-09-12,0,2,0.86,1.66,15,15,3,2,5,10,6.41,24.18,0.7,2.05
Lorient,Lens,Ligue_1,2020-09-13,2,3,0.92,1.99,6,12,3,6,3,8,6.91,7.15,0.49,2.26
Zenit St. Petersburg,FC Ufa,RFPL,2020-09-26,6,0,2.82,0.46,23,6,8,4,16,5,31.57,32.27,2.79,0.13
Sampdoria,Benevento,Serie_A,2020-09-26,2,3,1.36,1.27,9,14,3,5,2,5,14.43,8.31,1.43,1.25
CSKA Moscow,Spartak Moscow,RFPL,2020-09-13,3,1,0.85,0.78,10,14,5,4,4,10,8.53,8.72,1.33,1.3
Cadiz,Osasuna,La_Liga,2020-09-12,0,2,0.6,0.63,12,6,3,4,4,5,6.67,6.74,1.25,1.34
Crystal Palace,Everton,Premier_League,2020-09-26,1,2,0.44,2.27,8,10,1,5,4,3,12.03,7.3,0.19,2.7
Tottenham,Everton,Premier_League,2020-09-13,0,1,0.82,1.27,9,15,5,4,9,5,11.33,16.26,0.96,1.74
FC Tambov,FC Ufa,RFPL,2020-09-12,2,0,0.85,0.34,8,9,4,3,4,7,16.71,13.53,1.83,0.78
Hertha Berlin,Eintracht Frankfurt,Bundesliga,2020-09-25,1,3,1.56,1.62,12,11,6,3,3,6,13.44,15.8,1.31,1.39
Saint-Etienne,Rennes,Ligue_1,2020-09-26,0,3,0.2,1.37,6,10,4,6,4,4,18.39,11.48,0.36,2.4
Wolverhampton Wanderers,Manchester City,Premier_League,2020-09-21,1,3,0.73,2.08,10,14,1,9,3,9,30.71,7.6,0.42,2.41
Angers,Reims,Ligue_1,2020-09-13,1,0,2.15,0.32,20,7,7,2,2,3,15.11,18.05,2.69,0.2
FK Akhmat,PFC Sochi,RFPL,2020-09-12,0,1,1.44,0.28,20,8,6,1,6,6,6.82,18.79,2.38,0.39
Crystal Palace,Southampton,Premier_League,2020-09-12,1,0,1.4,1.26,5,9,3,5,1,14,17.33,3.61,1.48,1.22
Burnley,Southampton,Premier_League,2020-09-26,0,1,0.35,0.71,9,5,2,1,9,6,8.21,13.75,0.87,1.71
Lille,Metz,Ligue_1,2020-09-13,1,0,0.81,0.74,17,5,7,1,9,2,6.03,13.09,1.33,1.29
